WiFi1,WiFi2,WiFi3,WiFi4,WiFi5,WiFi6,WiFi7,Room,RegressionTarget
-64,-56,-61,-66,-71,-82,-81,1,-3830.076403892874
-68,-57,-61,-65,-71,-85,-85,1,-3965.2180884436843
-63,-60,-60,-67,-76,-85,-84,1,-3939.8869787581857
-61,-60,-68,-62,-77,-90,-80,1,-3875.0521950907514
-63,-65,-60,-63,-77,-81,-87,1,-3900.0130214272585
-64,-55,-63,-66,-76,-88,-83,1,-3960.0524501791515
-65,-61,-65,-67,-69,-87,-84,1,-3979.9618163176488
-61,-63,-58,-66,-74,-87,-82,1,-3909.877879990196
-65,-60,-59,-63,-76,-86,-82,1,-3885.0159706940613
-62,-60,-66,-68,-80,-86,-91,1,-4100.076892982874
-67,-61,-62,-67,-77,-83,-91,1,-4070.0383869957386
-65,-59,-61,-67,-72,-86,-81,1,-3905.0575928379626
-63,-57,-61,-65,-73,-84,-84,1,-3904.9761602550916
-66,-60,-65,-62,-70,-85,-83,1,-3884.9649145208105
-61,-59,-65,-63,-74,-89,-87,1,-4009.988480199064
-67,-60,-59,-61,-71,-86,-91,1,-4054.9296131232695
-63,-56,-60,-62,-70,-84,-91,1,-4014.958781387319
-60,-54,-59,-65,-73,-83,-84,1,-3874.7178608206027
-60,-58,-60,-61,-73,-84,-88,1,-3930.039210097288
-62,-59,-63,-64,-70,-84,-84,1,-3890.07086170542
-63,-59,-64,-66,-72,-84,-90,1,-4035.103725547955
-65,-59,-66,-65,-68,-82,-85,1,-3904.919131510182
-63,-56,-63,-65,-72,-82,-89,1,-3974.9549786590733
-67,-60,-66,-65,-75,-86,-87,1,-4014.921125195838
-63,-57,-67,-66,-79,-86,-89,1,-4044.7589317831744
-66,-59,-64,-68,-68,-97,-83,1,-4124.973890125488
-65,-61,-64,-68,-77,-86,-89,1,-4075.0232230043052
-66,-57,-65,-69,-78,-85,-85,1,-3994.9866481840727
-67,-57,-64,-71,-75,-89,-87,1,-4120.008184599888
-65,-62,-62,-65,-77,-84,-85,1,-3935.1144112627535
-61,-54,-60,-61,-74,-87,-83,1,-3879.8742965369097
-65,-53,-60,-62,-69,-85,-83,1,-3879.960448364748
-66,-55,-63,-65,-68,-85,-90,1,-4054.9863197035975
-63,-57,-59,-67,-71,-82,-93,1,-4074.979832863366
-63,-57,-62,-65,-76,-82,-88,1,-3954.979611967415
-64,-57,-62,-67,-68,-83,-84,1,-3914.8729149030873
-68,-63,-68,-64,-74,-86,-84,1,-3950.035003776284
-70,-62,-68,-65,-81,-89,-83,1,-3994.88216714908
-67,-59,-62,-66,-80,-96,-82,1,-4075.043878756224
-66,-59,-64,-67,-77,-87,-85,1,-4004.8477542689348
-66,-59,-65,-68,-75,-88,-84,1,-4010.1105082667714
-67,-59,-62,-65,-71,-91,-84,1,-4029.875981784033
-69,-61,-62,-62,-75,-85,-84,1,-3920.1281371259975
-68,-58,-65,-65,-76,-87,-82,1,-3935.2692129634097
-66,-62,-64,-68,-73,-89,-83,1,-4005.161877923474
-68,-58,-65,-67,-83,-89,-86,1,-4065.0300533265868
-65,-58,-62,-67,-77,-86,-91,1,-4105.065901933349
-65,-58,-64,-69,-81,-88,-90,1,-4134.820635122167
-65,-56,-63,-71,-77,-89,-85,1,-4070.2046676131245
-64,-59,-65,-70,-84,-90,-89,1,-4149.879730297912
-64,-56,-64,-70,-80,-91,-84,1,-4064.9440916922576
-68,-57,-64,-68,-77,-88,-85,1,-4039.8530748452745
-67,-56,-65,-68,-82,-96,-89,1,-4235.004780508062
-66,-69,-63,-69,-79,-88,-86,1,-4059.8965930460868
-68,-57,-62,-68,-77,-91,-86,1,-4105.052027694631
-62,-58,-61,-68,-70,-85,-86,1,-3984.9228916157927
-63,-58,-66,-68,-75,-90,-93,1,-4205.033236570257
-62,-58,-57,-65,-70,-82,-91,1,-4009.9725982538544
-64,-51,-57,-67,-68,-84,-82,1,-3889.9104686349237
-62,-56,-61,-67,-67,-81,-85,1,-3895.0288423859747
-63,-53,-60,-68,-67,-87,-85,1,-4000.0109674977575
-64,-54,-58,-69,-65,-86,-86,1,-4019.9756626575363
-62,-52,-61,-66,-65,-85,-89,1,-4025.1475330188223
-64,-54,-61,-63,-65,-88,-86,1,-3990.088205138097
-58,-54,-61,-66,-75,-87,-86,1,-3975.0111304995985
-63,-55,-63,-68,-77,-87,-89,1,-4079.968417442513
-64,-56,-64,-65,-75,-85,-90,1,-4044.9701776058337
-64,-56,-64,-67,-77,-81,-85,1,-3905.0839596002934
-63,-57,-65,-69,-77,-81,-85,1,-3919.8352299311246
-63,-61,-61,-68,-72,-87,-92,1,-4140.041980647001
-59,-55,-62,-64,-68,-77,-86,1,-3810.315156154659
-64,-57,-62,-68,-71,-85,-85,1,-3975.081663673232
-66,-58,-56,-66,-79,-86,-93,1,-4139.980047427792
-63,-59,-58,-64,-74,-82,-90,1,-3984.941785752391
-66,-57,-57,-64,-69,-84,-90,1,-4030.260540884544
